id,100,200,300,400
1,Viável,Viável,Viável,Inviável
2,Inviável,Viável,Viável,Viável
3,Viável,Viável,Viável,Inviável
4,Viável,Inviável,Viável,Inviável
5,Viável,Inviável,Viável,Inviável
6,Viável,Viável,Inviável,Viável
7,Viável,Inviável,Inviável,Viável
8,Viável,Inviável,Inviável,Viável
9,Inviável,Inviável,Viável,Inviável
10,Inviável,Viável,Inviável,Viável
11,Viável,Inviável,Viável,Inviável
12,Viável,Viável,Viável,Inviável
13,Viável,Viável,Inviável,Viável
14,Viável,Viável,Inviável,Inviável
15,Inviável,Inviável,Inviável,Inviável
16,Viável,Inviável,Viável,Inviável
17,Viável,Inviável,Viável,Inviável
18,Viável,Inviável,Viável,Viável
19,Viável,Inviável,Viável,Viável
20,Viável,Inviável,Viável,Viável
21,Viável,Inviável,Inviável,Inviável
22,Viável,Inviável,Inviável,Viável
23,Viável,Inviável,Inviável,Inviável
24,Viável,Inviável,Inviável,Inviável
25,Viável,Inviável,Inviável,Inviável
26,Viável,Inviável,Inviável,Inviável
27,Viável,Inviável,Viável,Inviável
