id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.001253,27,0,27,13.009991,25,4,21,2,30,30,0,195,123,123,Inviável
2,0.000259,8,0,8,10.826117,7,1,6,1,40,40,3,235,164,164,Inviável
3,0.000299,10,0,10,14.050907,9,1,8,1,50,50,3,109,205,205,Inviável
4,0.000712,24,0,24,23.500963,22,2,20,2,60,60,1,256,246,246,Inviável
5,0.000334,6,0,6,20.856606,6,0,6,0,70,70,0,0,287,287,Viável
6,0.000732,26,0,26,31.436636,25,1,24,1,80,80,3,143,328,328,Inviável
7,0.000987,34,0,34,40.013855,33,1,32,1,90,90,3,162,369,369,Inviável
8,0.001110,33,0,33,46.107765,32,2,30,1,100,100,2,148,410,410,Inviável
9,0.000881,21,0,21,47.678055,21,0,21,0,110,110,0,0,451,451,Viável
10,0.000603,5,0,5,44.725407,5,0,5,0,120,120,0,0,492,492,Viável
11,0.001782,44,0,44,77.221489,43,1,42,1,130,130,3,122,533,533,Inviável
12,0.001321,31,0,31,72.585899,30,3,27,1,140,140,1,100,574,574,Inviável
13,0.002010,40,0,40,89.539963,38,2,36,2,150,150,2,20,615,615,Viável
14,0.003332,57,0,57,108.065041,56,1,55,1,160,160,3,45,656,656,Inviável
15,0.003023,53,0,53,114.372871,52,1,51,1,170,170,2,195,697,697,Inviável
16,0.008232,69,0,69,135.448349,68,1,67,1,180,180,3,105,738,738,Inviável
17,0.001698,32,0,32,117.865593,31,1,30,1,190,190,3,170,779,779,Inviável
18,0.004041,56,0,56,152.880371,55,1,54,1,200,200,3,69,820,820,Inviável
19,0.058455,69,0,69,174.356628,67,4,63,1,210,210,0,19,861,861,Inviável
20,0.003311,64,0,64,176.424789,63,1,62,1,220,220,3,72,902,902,Inviável
21,0.003246,56,0,56,176.697021,55,4,51,1,230,230,0,242,943,943,Inviável
22,0.003496,63,0,63,198.663254,63,0,63,0,240,240,0,0,984,984,Viável
